key,value
"APN",apn
"NAMEADDR",nameaddr
"BESTSTAT",best_stat
"BESTDATE",best_date
"CASENO",caseno
"BPAPPLNO",bpapplno
"PROPUSE",propuse
"NEW_REHAB",new_rehab
"Alias",alias
"LANDUSE",landuse
"DESCRIPT",descript
"DBIDESC",dbidesc
"UNITS",units
"UNITSNET",unitsnet
"AFFORDABLE",affordable
"AFFORDABLENET",affordablenet
"EntitlementStatus",entitlementstatus
"PARKING",parking
"PARKINGNET",parkingnet
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE",cie
"CIENET",cienet
"MED",med
"MEDNET",mednet
"MIPS",mips
"MIPSNET",mipsnet
"PDR",pdr
"PDRNET",pdrnet
"RET",ret
"RETNET",retnet
"VISIT",visit
"VISITNET",visitnet
"FILEDATE",filedate
"PLANNER",planner
"SPONSOR",sponsor
"CONTACT",contact
"CONTACTPH",contactph
"DECISION",decision
"DECDATE",decdate
"ACTION",action
"ACTDATE",actdate
"SOURCE",source
"SupeDistrict",dname
"PLANAREA",planarea
"PLNDISTRICT",plndistrict
"NEIGHBORHOOD",neighborhood
"ZONING_SIM",zoning_sim
"DISTRICTNAME",districtname
"HEIGHT_LIMIT",height_lim
"X",x
"Y",y
"geography",geography
