key,value
"NAMEADDR",nameaddr
"BESTSTAT",beststat
"BESTDATE",bestdate
"Alias",alias
"CASENO",caseno
"BPAPPLNO",bpapplno
"PLNDESC",plndesc
"DBIDESC",dbidesc
"PROPUSE",propuse
"UNITS",units
"UNITSNET",unitsnet
"AFFORDABLE",affordable
"AFFORDABLENET",affordablenet
"AFFORDABLE_DEC",aff_dec
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE",cie
"CIENET",cienet
"MED",med
"MEDNET",mednet
"MIPS",mips
"MIPSNET",mipsnet
"PDR",pdr
"PDRNET",pdrnet
"RET",ret
"RETNET",retnet
"VISIT",visit
"VISITNET",visitnet
"LANDUSE",landuse
"EntitlementStatus",entitled
"FirstFiled",firstfiled
"SPONSOR",sponsor
"CONTACTNAME",contact
"CONTACTPHONE",contactph
"SOURCE",source
"PLANNER",planner
"APN",apn
"PLANAREA",planarea
"CentralSoMa",centralsoma
"PLANDISTRICT",plandistrict
"NEIGHBORHOOD",neighborhood
"ZONING_SIM",zoning_sim
"ZONENAME",zonename
"HEIGHT",height
"SUPEDIST",supedist
"Location",location
