key,value
"NEIGHBORHOOD",neighborhood
"BLKLOT",blklot
"NAMEADDR",nameaddr
"UNITS",units
"UNITSNET",unitsnet
"BESTDATE",bestdate
"BESTSTAT",beststat
"EntitlementStatus",entitlementstatus
"CASENO",caseno
"DESCRIPT",descript
"PLN_REVIEW",pln_review
"PLN_REVIEWDATE",pln_reviewdate
"BPAPPLNO",bpapplno
"PROPUSE",propuse
"DBIDESC",dbidesc
"DBI_ACTION",dbi_action
"DBI_ACTDATE",dbi_actdate
"NEW_REHAB",new_rehab
"source",source
"TOTAL_GSF",total_gsf
"RET",ret
"MIPS",mips
"CIE",cie
"MED",med
"PDR",pdr
"VISIT",visit
"NET_GSF",net_gsf
"CIENET",cienet
"MEDNET",mednet
"MIPSNET",mipsnet
"PDRNET",pdrnet
"RETNET",retnet
"VISITNET",visitnet
"FILEDATE",filedate
"LANDUSE",landuse
"StandardAddress",standardaddress
"alias",alias
"Entitlement",entitlement
"sort",sort
"sizecat",sizecat
"AFFORDABLE",affordable
"AFFNET",affnet
"zoning_gen",zoning_gen
"ZONING_SIM",zoning_sim
"ZONINGDISTRICTNAME",zoningdistrictname
"HEIGHTLIMIT",heightlimit
"SPONSOR",sponsor
"CONTACT",contact
"Geography",geography
