key,value
"BESTDATE",bestdate
"BESTSTAT",beststat
"NAMEADDR",nameaddr
"Alias",alias
"LANDUSE",landuse
"CASENO",caseno
"PLNDESC",plndesc
"BPAPPLNO",bpapplno
"DBIDESC",dbidesc
"FirstFiled",firstfiled
"COST",cost
"PROPUSE",propuse
"APN",apn
"EntitlementStatus",entitlementstatus
"NEIGHBORHOOD",neighborhood
"PLANAREA",planarea
"PLANDISTRICT",district
"SUPDIST",supdist
"ZONING",zoning
"ZONEDISTRICTNAME",districtname
"HEIGHTLIMIT",heightlimit
"UNITS",units
"UNITSNET",unitsnet
"AFFORDABLE",affordable
"AFFORDABLE_NET",affordable_net
"RETAILCOMM_EXISTING",retailcomm_existing
"RETAILCOMM_PROPOSED",retailcomm_proposed
"RETAILCOMM_NET",retailcomm_net
"OFFICE_EXISTING",office_existing
"OFFICE_PROPOSED",office_proposed
"OFFICE_NET",office_net
"INDUSTRIAL_EXISTING",industrial_existing
"INDUSTRIAL_PROPOSED",industrial_proposed
"INDUSTRIAL_NET",industrial_net
"MEDICAL_EXISTING",medical_existing
"MEDICAL_PROPOSED",medical_proposed
"MEDICAL_NET",medical_net
"VISITOR_EXISTING",visitor_existing
"VISITOR_PROPOSED",visitor_proposed
"VISITOR_NET",visitor_net
"CIE_EXISTING",cie_existing
"CIE_PROPOSED",cie_proposed
"CIE_NET",cie_net
"SPONSOR",sponsor
"CONTACT",contact
"CONTACTPH",contactph
"PLANNER",planner
"LOCATION",location
